CustomerID,InvoiceCount,TotalRevenue,FirstPurchase,LastPurchase,CustomerType
12346,1,77183.6,2011-01-18 10:01:00,2011-01-18 10:01:00,One-time customer
12347,7,4310.0,2010-12-07 14:57:00,2011-12-07 15:52:00,Repeat customer
12348,4,1797.24,2010-12-16 19:09:00,2011-09-25 13:13:00,Repeat customer
12349,1,1757.55,2011-11-21 09:51:00,2011-11-21 09:51:00,One-time customer
12350,1,334.4,2011-02-02 16:01:00,2011-02-02 16:01:00,One-time customer
12352,8,2506.04,2011-02-16 12:33:00,2011-11-03 14:37:00,Repeat customer
12353,1,89.0,2011-05-19 17:47:00,2011-05-19 17:47:00,One-time customer
12354,1,1079.4,2011-04-21 13:11:00,2011-04-21 13:11:00,One-time customer
12355,1,459.4,2011-05-09 13:49:00,2011-05-09 13:49:00,One-time customer
12356,3,2811.43,2011-01-18 09:50:00,2011-11-17 08:40:00,Repeat customer
12357,1,6207.67,2011-11-06 16:07:00,2011-11-06 16:07:00,One-time customer
12358,2,1168.06,2011-07-12 10:04:00,2011-12-08 10:26:00,Repeat customer
12359,4,6372.58,2011-01-12 12:43:00,2011-10-13 12:47:00,Repeat customer
12360,3,2662.06,2011-05-23 09:43:00,2011-10-18 15:22:00,Repeat customer
12361,1,189.9,2011-02-25 13:51:00,2011-02-25 13:51:00,One-time customer
12362,10,5226.23,2011-02-17 10:30:00,2011-12-06 15:40:00,Repeat customer
12363,2,552.0,2011-04-11 13:29:00,2011-08-22 10:18:00,Repeat customer
12364,4,1313.1,2011-08-19 15:24:00,2011-12-02 10:22:00,Repeat customer
12365,2,641.38,2011-02-21 13:51:00,2011-02-21 14:04:00,Repeat customer
12367,1,168.9,2011-12-05 16:48:00,2011-12-05 16:48:00,One-time customer
12370,4,3545.69,2010-12-14 12:58:00,2011-10-19 14:51:00,Repeat customer
12371,2,1887.96,2011-10-11 10:43:00,2011-10-26 10:16:00,Repeat customer
12372,3,1298.04,2011-02-16 12:46:00,2011-09-29 12:12:00,Repeat customer
12373,1,364.6,2011-02-01 13:10:00,2011-02-01 13:10:00,One-time customer
12374,1,742.9300000000001,2011-11-14 15:37:00,2011-11-14 15:37:00,One-time customer
12375,2,457.5,2011-09-02 14:23:00,2011-11-29 10:36:00,Repeat customer
12377,2,1628.12,2010-12-20 09:37:00,2011-01-28 15:45:00,Repeat customer
12378,1,4008.62,2011-08-02 10:34:00,2011-08-02 10:34:00,One-time customer
12379,2,852.24,2011-06-22 16:32:00,2011-09-19 10:09:00,Repeat customer
12380,4,2724.81,2011-06-07 09:49:00,2011-11-18 11:27:00,Repeat customer
12381,5,1845.31,2011-08-12 09:57:00,2011-12-05 12:44:00,Repeat customer
12383,5,1850.56,2010-12-22 14:28:00,2011-06-08 08:02:00,Repeat customer
12384,2,585.27,2011-08-10 11:23:00,2011-11-11 08:39:00,Repeat customer
12386,2,401.9,2010-12-08 09:53:00,2011-01-06 12:37:00,Repeat customer
12388,6,2780.66,2011-01-17 11:12:00,2011-11-24 12:30:00,Repeat customer
12390,1,549.84,2011-09-21 09:33:00,2011-09-21 09:33:00,One-time customer
12391,1,460.89,2011-11-18 12:07:00,2011-11-18 12:07:00,One-time customer
12393,4,1582.6000000000001,2011-01-11 09:47:00,2011-09-28 15:41:00,Repeat customer
12394,2,1272.48,2011-05-06 14:01:00,2011-10-07 08:08:00,Repeat customer
12395,12,3018.63,2010-12-03 16:35:00,2011-11-20 15:21:00,Repeat customer
12397,2,2409.9,2011-07-27 14:21:00,2011-11-04 09:52:00,Repeat customer
12398,1,1635.6599999999999,2011-10-25 10:27:00,2011-10-25 10:27:00,One-time customer
12399,4,1108.65,2011-03-23 09:42:00,2011-08-12 13:15:00,Repeat customer
12401,1,84.3,2011-02-09 13:50:00,2011-02-09 13:50:00,One-time customer
12402,1,225.6,2011-01-20 13:49:00,2011-01-20 13:49:00,One-time customer
12403,1,427.7,2011-10-21 10:51:00,2011-10-21 10:51:00,One-time customer
12405,1,1710.39,2011-07-14 08:52:00,2011-07-14 08:52:00,One-time customer
12406,2,3415.3,2011-06-09 10:23:00,2011-11-17 19:22:00,Repeat customer
12407,5,1708.1200000000001,2011-03-20 13:21:00,2011-10-21 10:11:00,Repeat customer
12408,5,2888.55,2011-03-24 14:46:00,2011-11-07 12:27:00,Repeat customer
12409,3,11072.67,2011-06-10 12:19:00,2011-09-22 10:38:00,Repeat customer
12410,2,693.3299999999999,2011-02-04 10:38:00,2011-02-04 10:39:00,Repeat customer
12412,3,1226.88,2011-06-23 13:51:00,2011-09-26 10:16:00,Repeat customer
12413,3,758.1,2011-01-06 16:12:00,2011-10-04 09:00:00,Repeat customer
12414,3,562.41,2011-02-02 14:51:00,2011-05-06 14:51:00,Repeat customer
12415,21,124914.53,2011-01-06 11:12:00,2011-11-15 14:22:00,Repeat customer
12417,9,3649.1,2010-12-17 11:51:00,2011-12-06 14:52:00,Repeat customer
12418,1,668.58,2011-08-19 11:08:00,2011-08-19 11:08:00,One-time customer
12420,1,600.39,2011-10-07 08:55:00,2011-10-07 08:55:00,One-time customer
12421,4,807.04,2011-01-24 15:09:00,2011-11-24 09:07:00,Repeat customer
12422,3,803.5600000000001,2011-01-19 09:13:00,2011-09-05 09:48:00,Repeat customer
12423,8,1859.31,2010-12-21 10:54:00,2011-12-09 10:10:00,Repeat customer
12424,2,1760.96,2011-06-30 12:06:00,2011-06-30 12:06:00,Repeat customer
12425,1,777.2,2011-09-22 17:31:00,2011-09-22 17:31:00,One-time customer
12426,1,582.73,2011-05-29 12:26:00,2011-05-29 12:26:00,One-time customer
12427,3,825.8,2010-12-03 10:44:00,2011-11-18 08:56:00,Repeat customer
12428,9,7956.46,2011-03-01 09:33:00,2011-11-14 08:22:00,Repeat customer
12429,4,3750.4,2010-12-09 12:05:00,2011-11-30 17:22:00,Repeat customer
