ProductCategory,Revenue,Quantity,Invoices,Customers,Products,RevenueShare,AverageRevenuePerInvoice
Home Decor,2376070.77,1021008,14482,3861,826,0.2666324777854092,164.07062353266124
Kitchen & Dining,1933683.72,953356,14104,3882,673,0.21698969913968827,137.1017952353942
Other,1747120.413,1227167,14685,3970,1205,0.19605436445298197,118.97312992849847
Bags & Storage,1385906.02,857884,11221,3322,292,0.15552043346348432,123.51002762677123
Stationery & Crafts,478468.19,566971,7467,2684,269,0.05369164952995064,64.07770054908264
Seasonal,412501.34,303842,5577,2547,204,0.046289132361996756,73.96473731396809
Gifts & Accessories,174878.56,127689,4719,2073,197,0.019624122460100108,37.058393727484635
Non-product Charges,152549.821,10683,1646,644,8,0.017118487072230872,92.67911360874848
Garden & Outdoor,131894.15,59040,3926,1973,135,0.014800596204422157,33.59504584819154
Toys & Children,97371.24,31154,2435,1238,42,0.010926583212097572,39.98818891170431
Personal & Bathroom,20963.68,9018,1013,659,26,0.002352454317638202,20.694649555774927
