ProductCategory,Description,Revenue
Stationery & Crafts,"PAPER CRAFT , LITTLE BIRDIE",168469.6
Kitchen & Dining,REGENCY CAKESTAND 3 TIER,142592.94999999998
Home Decor,WHITE HANGING HEART T-LIGHT HOLDER,100448.15000000001
Bags & Storage,JUMBO BAG RED RETROSPOT,85220.78
Non-product Charges,POSTAGE,77803.96
Other,CHILLI LIGHTS,46286.51
Seasonal,PAPER CHAIN KIT 50'S CHRISTMAS ,42660.83
Gifts & Accessories,JUMBO SHOPPER VINTAGE RED PAISLEY,20174.23
Toys & Children,FELTCRAFT DOLL MOLLY,11762.99
Garden & Outdoor,WOODEN ROUNDERS GARDEN SET ,11601.14
Personal & Bathroom,BATH BUILDING BLOCK WORD,4727.83
