YearWeek,Revenue
2010-W48,149386.33
2010-W49,213447.72
2010-W50,163770.73
2010-W51,46109.11
2011-W01,114865.27
2011-W02,154714.94
2011-W03,175757.98
2011-W04,105288.77
2011-W05,106095.23
2011-W06,88015.42
2011-W07,126050.4
2011-W08,130687.36
2011-W09,117600.82
2011-W10,112338.0
2011-W11,138278.82
2011-W12,129918.43
2011-W13,143977.03
2011-W14,119961.92
2011-W15,135142.201
2011-W16,116090.02
2011-W17,73474.56
2011-W18,131329.18
2011-W19,178850.25
2011-W20,196269.92
2011-W21,146976.9
2011-W22,102371.9
2011-W23,194019.08
2011-W24,171940.3
2011-W25,112818.82
2011-W26,116479.92
2011-W27,131383.74
2011-W28,118297.88
2011-W29,167519.81
2011-W30,164667.901
2011-W31,156185.19
2011-W32,143652.21
2011-W33,168080.69
2011-W34,148051.26
2011-W35,114046.78
2011-W36,167004.06
2011-W37,209167.98
2011-W38,309569.211
2011-W39,194007.851
2011-W40,297116.86
2011-W41,204423.28
2011-W42,255461.64
2011-W43,237685.49
2011-W44,260628.77
2011-W45,264765.98
2011-W46,277773.94
2011-W47,249532.68
2011-W48,251788.22
2011-W49,408569.15
